Date, MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall
2016-12-15, 44, 24, 34.0, 0.00, 0.0
2016-12-16, 34, 22, 28.0, 0.00, 0.0
2016-12-17, 52, 34, 43.0, 0.11, 0.0
2016-12-18, 79, 43, 61.0, 0.09, 0.0
2016-12-19, 43, 36, 39.5, 0.01, 0.0
2016-12-20, 42, 34, 38.0, 0.00, 0.0
2016-12-21, 51, 27, 39.0, 0.00, 0.0
2016-12-22, 61, 31, 46.0, 0.00, 0.0
2016-12-23, 47, 41, 44.0, 0.00, 0.0
2016-12-24, 56, 44, 50.0, 0.21, 0.0
2016-12-25, 49, 41, 45.0, 0.00, 0.0
2016-12-26, 51, 45, 48.0, 0.00, 0.0
2016-12-27, 69, 48, 58.5, T, 0.0
2016-12-28, 60, 39, 49.5, 0.00, 0.0
2016-12-29, 57, 41, 49.0, 0.19, 0.0
2016-12-30, 46, 36, 41.0, 0.00, 0.0
2016-12-31, 50, 25, 37.5, 0.00, 0.0
2017-01-01, 56, 46, 51.0, 0.02, 0.0
2017-01-02, 56, 46, 51.0, 1.73, 0.0
2017-01-03, 56, 46, 51.0, 0.24, 0.0
2017-01-04, 61, 47, 54.0, 0.00, 0.0
2017-01-05, 47, 34, 40.5, T, 0.0
2017-01-06, 43, 32, 37.5, 0.03, T
2017-01-07, 32, 22, 27.0, 1.04, 5.3
2017-01-08, 25, 18, 21.5, T, 0.0
2017-01-09, 29, 18, 23.5, 0.00, 0.0
2017-01-10, 44, 16, 30.0, T, 0.0
2017-01-11, 60, 41, 50.5, 0.05, 0.0
2017-01-12, 73, 53, 63.0, 0.00, 0.0
2017-01-13, 63, 42, 52.5, 0.00, 0.0
2017-01-14, 45, 40, 42.5, T, 0.0
2017-01-15, 43, 40, 41.5, 0.00, 0.0
2017-01-16, 45, 41, 43.0, 0.02, 0.0
2017-01-17, 60, 44, 52.0, 0.01, 0.0
2017-01-18, 61, 45, 53.0, 0.09, 0.0
2017-01-19, 51, 40, 45.5, 0.00, 0.0
2017-01-20, 54, 40, 47.0, 0.20, 0.0
2017-01-21, 55, 46, 50.5, 0.44, 0.0
2017-01-22, 52, 47, 49.5, 0.03, 0.0
2017-01-23, 67, 45, 56.0, 0.46, 0.0
2017-01-24, 53, 40, 46.5, T, 0.0
2017-01-25, 69, 39, 54.0, 0.00, 0.0
2017-01-26, 69, 45, 57.0, 0.05, 0.0
2017-01-27, 49, 38, 43.5, 0.00, 0.0
2017-01-28, 49, 28, 38.5, 0.00, 0.0
2017-01-29, 55, 33, 44.0, T, 0.0
2017-01-30, 44, 29, 36.5, T, T
2017-01-31, 65, 27, 46.0, 0.00, 0.0
2017-02-01, 61, 42, 51.5, 0.00, 0.0
2017-02-02, 52, 40, 46.0, 0.00, 0.0
2017-02-03, 43, 37, 40.0, 0.00, 0.0
2017-02-04, 38, 26, 32.0, 0.00, 0.0
2017-02-05, 56, 28, 42.0, 0.00, 0.0
2017-02-06, 65, 34, 49.5, 0.00, 0.0
2017-02-07, 73, 48, 60.5, 0.00, 0.0
2017-02-08, 72, 57, 64.5, T, 0.0
2017-02-09, 61, 32, 46.5, 0.18, 0.0
2017-02-10, 45, 28, 36.5, 0.00, 0.0
2017-02-11, 70, 43, 56.5, 0.00, 0.0
2017-02-12, 82, 47, 64.5, 0.16, 0.0
2017-02-13, 53, 41, 47.0, 0.00, 0.0
2017-02-14, 54, 30, 42.0, 0.00, 0.0
2017-02-15, 51, 41, 46.0, 0.31, 0.0
2017-02-16, 46, 32, 39.0, 0.00, 0.0
2017-02-17, 55, 26, 40.5, 0.00, 0.0
2017-02-18, 76, 39, 57.5, 0.00, 0.0
2017-02-19, 67, 49, 58.0, T, 0.0
2017-02-20, 60, 46, 53.0, 0.00, 0.0
2017-02-21, 56, 43, 49.5, 0.00, 0.0
2017-02-22, 70, 47, 58.5, 0.00, 0.0
2017-02-23, 76, 55, 65.5, 0.01, 0.0
2017-02-24, 77, 52, 64.5, 0.00, 0.0
2017-02-25, 81, 52, 66.5, T, 0.0
2017-02-26, 54, 41, 47.5, 0.00, 0.0
2017-02-27, 65, 37, 51.0, 0.00, 0.0
2017-02-28, 78, 52, 65.0, 0.00, 0.0
2017-03-01, 83, 62, 72.5, 0.28, 0.0
2017-03-02, 64, 48, 56.0, 0.01, 0.0
2017-03-03, 51, 34, 42.5, T, T
2017-03-04, 47, 34, 40.5, 0.00, 0.0
2017-03-05, 39, 29, 34.0, 0.00, 0.0
2017-03-06, 63, 29, 46.0, 0.00, 0.0
2017-03-07, 74, 47, 60.5, T, 0.0
2017-03-08, 67, 47, 57.0, 0.02, 0.0
2017-03-09, 74, 41, 57.5, 0.00, 0.0
2017-03-10, 59, 40, 49.5, T, 0.0
2017-03-11, 44, 33, 38.5, 0.00, 0.0
2017-03-12, 40, 34, 37.0, 0.00, 0.0
2017-03-13, 54, 36, 45.0, 0.69, 0.0
2017-03-14, 56, 35, 45.5, 1.29, T
2017-03-15, 39, 26, 32.5, 0.00, 0.0
2017-03-16, 46, 30, 38.0, 0.00, 0.0
2017-03-17, 56, 27, 41.5, T, 0.0
2017-03-18, 55, 44, 49.5, 0.09, 0.0
2017-03-19, 48, 36, 42.0, 0.42, 0.1
2017-03-20, 53, 41, 47.0, 0.00, 0.0
2017-03-21, 65, 46, 55.5, T, 0.0
2017-03-22, 53, 40, 46.5, T, 0.0
2017-03-23, 42, 32, 37.0, 0.00, 0.0
2017-03-24, 71, 31, 51.0, 0.00, 0.0
2017-03-25, 78, 57, 67.5, 0.00, 0.0
2017-03-26, 62, 53, 57.5, 0.00, 0.0
2017-03-27, 78, 55, 66.5, 0.00, 0.0
2017-03-28, 77, 59, 68.0, 0.17, 0.0
2017-03-29, 61, 47, 54.0, 0.00, 0.0
2017-03-30, 58, 45, 51.5, 0.00, 0.0
2017-03-31, 72, 53, 62.5, 1.64, 0.0
2017-04-01, 63, 51, 57.0, 0.00, 0.0
2017-04-02, 59, 46, 52.5, 0.00, 0.0
2017-04-03, 74, 43, 58.5, 0.01, 0.0
2017-04-04, 83, 63, 73.0, 0.00, 0.0
2017-04-05, 76, 56, 66.0, T, 0.0
2017-04-06, 77, 56, 66.5, 0.67, 0.0
2017-04-07, 56, 47, 51.5, 0.00, 0.0
2017-04-08, 65, 43, 54.0, 0.00, 0.0
2017-04-09, 70, 42, 56.0, 0.00, 0.0
2017-04-10, 80, 52, 66.0, 0.00, 0.0
2017-04-11, 84, 59, 71.5, 0.00, 0.0
2017-04-12, 78, 60, 69.0, 0.00, 0.0
2017-04-13, 65, 52, 58.5, 0.00, 0.0
2017-04-14, 66, 47, 56.5, 0.00, 0.0
2017-04-15, 83, 59, 71.0, 0.01, 0.0
2017-04-16, 87, 66, 76.5, 0.00, 0.0
2017-04-17, 87, 62, 74.5, 0.47, 0.0
